dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E11_S1,42,0.2854856178844189,0.417605193211007,0.4110221811783207,0.49145351053337677,0.4176051932110069,0.23845431
Mouse_Brain_E11_S1,0,0.3402874691361808,0.46693713920969304,0.46089430763357914,0.5456772983001305,0.466937139209693,0.2425048
Mouse_Brain_E11_S1,1,0.30370757834160794,0.4171635648054728,0.41064678830392143,0.5009915146959036,0.41716356480547273,0.21627373
Mouse_Brain_E11_S1,7,0.36666831662581484,0.4271161627021673,0.4206025340231027,0.5010081454445061,0.42711616270216723,0.24043222
Mouse_Brain_E11_S1,123,0.33878760503033833,0.44372310321654107,0.4372925341592576,0.49643883345034384,0.44372310321654107,0.19536556
Mouse_Brain_E11_S1,1234,0.30502323486261596,0.4270523426368486,0.42053800575488354,0.4916905565050642,0.42705234263684866,0.26041383
Mouse_Brain_E11_S1,2022,0.30526986253577687,0.4388991016137001,0.43256495293732666,0.5187359780262438,0.4388991016137001,0.17675015
Mouse_Brain_E11_S1,2023,0.26043480655595436,0.40766276117300954,0.4009652523019808,0.47951091848853383,0.4076627611730096,0.23425922
Mouse_Brain_E11_S1,2024,0.3449878978061861,0.4427214808047916,0.4363302048756407,0.5076678221070404,0.44272148080479157,0.26303038
Mouse_Brain_E11_S1,1337,0.33004223139661715,0.41491870927253555,0.4082831304768137,0.4870545716070838,0.4149187092725355,0.20616733
