dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,42,0.20196526474527754,0.3627603760640772,0.3576346704395562,0.42567898362725465,0.36276037606407724,0.20125538
10x_human_lymph_node_D1,0,0.2321149210476429,0.34842307716753523,0.3430806050627253,0.3982147958011251,0.34842307716753523,0.23139228
10x_human_lymph_node_D1,1,0.16824485259614255,0.3383963668849186,0.3331637708712477,0.40568774327563734,0.33839636688491853,0.23721696
10x_human_lymph_node_D1,7,0.20409433333785873,0.334522226142636,0.3291307605227824,0.38982546477906527,0.334522226142636,0.23895977
10x_human_lymph_node_D1,123,0.23774143494505154,0.34894346796841913,0.3434693873001951,0.38432201371230584,0.34894346796841913,0.2040369
10x_human_lymph_node_D1,1234,0.19387934355932868,0.3592157197651899,0.3540225968336248,0.41947717744989793,0.3592157197651899,0.26362067
10x_human_lymph_node_D1,2022,0.1897639291577197,0.3476633099245965,0.3424168787129843,0.40832409697732613,0.3476633099245965,0.23321812
10x_human_lymph_node_D1,2023,0.20351088908578885,0.35923035485491683,0.3540199417730086,0.4178927205100131,0.35923035485491683,0.23113158
10x_human_lymph_node_D1,2024,0.19366327435401487,0.3465613611587112,0.3412878938325533,0.40585216061247986,0.3465613611587112,0.22136156
10x_human_lymph_node_D1,1337,0.16872322654951957,0.33885995329903773,0.3336367691504811,0.4069481429252317,0.3388599532990378,0.23012416
