dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E15_S1,42,0.5681362438255023,0.6115287334100434,0.6055650458237178,0.6230119361467149,0.6115287334100435,0.30276066
Mouse_Brain_E15_S1,0,0.39620191338416655,0.5740153694111747,0.5676894051760036,0.6020989426629817,0.5740153694111747,0.23543327
Mouse_Brain_E15_S1,1,0.45749979273848057,0.5760481119577017,0.5695570924908877,0.5886016648945549,0.5760481119577018,0.21855262
Mouse_Brain_E15_S1,7,0.25743944463094465,0.5258860803788833,0.5188379575553744,0.5496969450059355,0.5258860803788833,0.19205095
Mouse_Brain_E15_S1,123,0.3027368250249215,0.5783601568261916,0.5720408981612798,0.6012384290904116,0.5783601568261916,0.21739313
Mouse_Brain_E15_S1,1234,0.2903683347436704,0.5227845370948452,0.5158054092465942,0.5468807157523744,0.5227845370948452,0.19084078
Mouse_Brain_E15_S1,2022,0.3376740789254925,0.559699577739567,0.5529334665507464,0.5693202673595461,0.5596995777395669,0.19648679
Mouse_Brain_E15_S1,2023,0.47019083270086415,0.5811006120787158,0.5745800727960121,0.584734040699831,0.5811006120787158,0.1979952
Mouse_Brain_E15_S1,2024,0.44169237388836524,0.5863380483613356,0.5800310060091018,0.6013926879731896,0.5863380483613356,0.22985157
Mouse_Brain_E15_S1,1337,0.2832258022196925,0.5447656842217725,0.5378673906986355,0.5611404415727682,0.5447656842217725,0.19758885
