dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E15_S1,42,0.5082411611988193,0.5639525144018044,0.5572010322659243,0.5696589289137858,0.5639525144018043,0.13750072
Mouse_Brain_E15_S1,0,0.5632908762409645,0.593095805393537,0.586767734633783,0.5970540620595357,0.593095805393537,0.25004688
Mouse_Brain_E15_S1,1,0.4339528126064561,0.5452030970898977,0.5385150016349993,0.5764548846477421,0.5452030970898978,0.18392812
Mouse_Brain_E15_S1,7,0.385303634680012,0.5688441338578333,0.5624421324079155,0.5964525527856865,0.5688441338578334,0.11738274
Mouse_Brain_E15_S1,123,0.4410438428631949,0.5527607174889791,0.5461838757738202,0.5831972283903056,0.5527607174889793,0.1377592
Mouse_Brain_E15_S1,1234,0.3871718673906124,0.5344231364800321,0.5275190106071423,0.5612861436842126,0.5344231364800321,0.15794022
Mouse_Brain_E15_S1,2022,0.335978158074996,0.4992159881899673,0.49182413814422543,0.5256287190580118,0.49921598818996726,0.12953626
Mouse_Brain_E15_S1,2023,0.547563657872693,0.5622689583932847,0.5556340309294875,0.5781151872380257,0.5622689583932846,0.23115969
Mouse_Brain_E15_S1,2024,0.33121132879712023,0.4986583344888046,0.4911223073130303,0.5181602442588709,0.4986583344888046,0.16362822
Mouse_Brain_E15_S1,1337,0.39878646306818843,0.5310287179748358,0.5240533778970561,0.555177563179647,0.5310287179748358,0.122764446
