dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E18_S1,42,0.37152783412518947,0.5624855055892573,0.5544405005682906,0.6108298000646841,0.5624855055892573,0.21602827
Mouse_Brain_E18_S1,0,0.43584604269641253,0.5674764426008297,0.5594881109722415,0.61228392991591,0.5674764426008297,0.13806082
Mouse_Brain_E18_S1,1,0.33888159424939424,0.5422054779634043,0.5337817446664964,0.5882221135614238,0.5422054779634043,0.1565409
Mouse_Brain_E18_S1,7,0.3685865831548755,0.5704885697869296,0.5626473642049675,0.6264028904863178,0.5704885697869297,0.18719819
Mouse_Brain_E18_S1,123,0.39325279798487645,0.5637386753110127,0.5556438248060858,0.6005898254726862,0.5637386753110128,0.18535832
Mouse_Brain_E18_S1,1234,0.3819764655693376,0.5623419466601698,0.554344726720794,0.6162874215892441,0.5623419466601698,0.18856183
Mouse_Brain_E18_S1,2022,0.3380878186635685,0.5231002925629624,0.5142710294580495,0.5561574761195373,0.5231002925629625,0.14537959
Mouse_Brain_E18_S1,2023,0.3908137797461878,0.5336954517952532,0.5251220613085187,0.5804752770386574,0.5336954517952532,0.16520028
Mouse_Brain_E18_S1,2024,0.41215288042681364,0.5594066397889726,0.551311450323116,0.6084544072975527,0.5594066397889726,0.15600114
Mouse_Brain_E18_S1,1337,0.31424742436662934,0.5348912174722871,0.5264611745242864,0.5854411233845193,0.5348912174722871,0.14043193
