dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_D1,42,0.17392211916931566,0.3217535822838328,0.31603108153345727,0.3578020792108477,0.3217535822838328,0.24034515
10x_human_lymph_node_D1,0,0.28060677084673685,0.366442298709901,0.3610456913853043,0.4023458751025166,0.366442298709901,0.17721687
10x_human_lymph_node_D1,1,0.21542891680573403,0.3617357220066417,0.3565270688581827,0.4191622229482759,0.3617357220066418,0.13997054
10x_human_lymph_node_D1,7,0.17756931955679733,0.3285197610794353,0.32300376941729597,0.375393673817483,0.32851976107943526,0.19200562
10x_human_lymph_node_D1,123,0.19945337826833193,0.3541645648873912,0.34882696114527856,0.4043229016809806,0.3541645648873911,0.23657489
10x_human_lymph_node_D1,1234,0.1851979242046964,0.3427785792906592,0.33744681284873923,0.39838162148426487,0.34277857929065914,0.22807868
10x_human_lymph_node_D1,2022,0.2506287567146229,0.37592180057829977,0.37071729997522024,0.4227156317812667,0.3759218005782997,0.25650796
10x_human_lymph_node_D1,2023,0.25684168449753003,0.3548634441645411,0.3496323585276767,0.41461751052063694,0.354863444164541,0.10529711
10x_human_lymph_node_D1,2024,0.17483442948500144,0.3410030807223357,0.33573758403859993,0.40265215836181856,0.34100308072233576,0.1898907
10x_human_lymph_node_D1,1337,0.19137769162828192,0.327165485183845,0.32169926383911657,0.3801811262415271,0.3271654851838449,0.19948117
