dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E15_S1,42,0.43005008443922427,0.5882133924413908,0.5821253340434256,0.6194902780844422,0.5882133924413909,0.16867158
Mouse_Brain_E15_S1,0,0.3156762236561435,0.528067115109224,0.5211299439869845,0.558426382972636,0.5280671151092239,0.1377323
Mouse_Brain_E15_S1,1,0.40383780243565537,0.5444664062731971,0.5376570849784059,0.5648281836198344,0.5444664062731971,0.17128801
Mouse_Brain_E15_S1,7,0.5850426870757,0.6173208234584886,0.611609020934305,0.6436156343041054,0.6173208234584885,0.27155542
Mouse_Brain_E15_S1,123,0.40906380917986385,0.5873030696879169,0.5810896371585167,0.6103273733018503,0.5873030696879168,0.19444767
Mouse_Brain_E15_S1,1234,0.44638072960048836,0.5515382126947249,0.5445577561988537,0.5545480733374608,0.5515382126947248,0.18266745
Mouse_Brain_E15_S1,2022,0.45174137022893035,0.5579798760108223,0.551443591605503,0.5867958436426308,0.5579798760108223,0.17637175
Mouse_Brain_E15_S1,2023,0.3534127931600017,0.5426974564087301,0.535710146369837,0.554546908447412,0.5426974564087301,0.14065395
Mouse_Brain_E15_S1,2024,0.5134855303353159,0.6043438173664799,0.5983226747250264,0.620481671695,0.60434381736648,0.21603537
Mouse_Brain_E15_S1,1337,0.5662370304949402,0.6098389944800763,0.6037381336951781,0.6104279407502966,0.6098389944800763,0.22089894
