dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E13_S1,42,0.2542755591079675,0.46072246468823186,0.4518644062212787,0.565980363203035,0.4607224646882318,0.15818577
Mouse_Brain_E13_S1,0,0.272456318150164,0.4572661020374455,0.44829399270691034,0.5520776168747344,0.4572661020374455,0.15250753
Mouse_Brain_E13_S1,1,0.2629347328982698,0.44992665367118445,0.4408564248815304,0.5472852410736578,0.44992665367118445,0.16516814
Mouse_Brain_E13_S1,7,0.20927643457328,0.420932038169037,0.4114389447657084,0.5185122079026214,0.420932038169037,0.13037823
Mouse_Brain_E13_S1,123,0.24505313877866067,0.46367937717608476,0.4548074180741849,0.5614639084738997,0.46367937717608476,0.16542457
Mouse_Brain_E13_S1,1234,0.24983441525632546,0.4521532543456647,0.44303469576016435,0.5338734973324568,0.4521532543456647,0.18273981
Mouse_Brain_E13_S1,2022,0.28788935399072896,0.4605383752610571,0.4515038568746808,0.5468986502989289,0.4605383752610571,0.17477256
Mouse_Brain_E13_S1,2023,0.2586305042712554,0.470591347113741,0.461890089015594,0.575741468898891,0.470591347113741,0.12539876
Mouse_Brain_E13_S1,2024,0.28471667548392615,0.4824140319475588,0.4738514878339278,0.5843749314863219,0.48241403194755883,0.16290575
Mouse_Brain_E13_S1,1337,0.21811260115676864,0.43361226867521785,0.4243287902137111,0.513146368344149,0.4336122686752178,0.15139188
