dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E18_S1,42,0.3642900557850547,0.5841178625913843,0.5765489296548718,0.6430129303967065,0.5841178625913843,0.20838608
Mouse_Brain_E18_S1,0,0.5456481102926721,0.5833875645774131,0.5754940350753858,0.6107970419710492,0.5833875645774131,0.20369446
Mouse_Brain_E18_S1,1,0.3961801308437846,0.5790826644614989,0.5713224986314026,0.6251484378618489,0.5790826644614989,0.24500766
Mouse_Brain_E18_S1,7,0.415167230730471,0.5950814607846608,0.5876156928692368,0.6440043439552205,0.5950814607846608,0.2157154
Mouse_Brain_E18_S1,123,0.4175410568996911,0.5733987026454227,0.5655198886290932,0.6198982743015691,0.5733987026454227,0.2094576
Mouse_Brain_E18_S1,1234,0.4347770417539003,0.607296105421246,0.6000569688068917,0.6571428225367273,0.607296105421246,0.23894864
Mouse_Brain_E18_S1,2022,0.4049419001849835,0.5957300739188895,0.5883366080150824,0.6509712091416149,0.5957300739188895,0.20131347
Mouse_Brain_E18_S1,2023,0.48295617806532476,0.6063510660871385,0.5990491601628954,0.6495481039796948,0.6063510660871386,0.21781084
Mouse_Brain_E18_S1,2024,0.40142827188152147,0.5957235622801217,0.5883031035154253,0.6477059778272456,0.5957235622801216,0.23069125
Mouse_Brain_E18_S1,1337,0.3932273467477321,0.5746301697917789,0.5668511514151582,0.6273336109490129,0.5746301697917789,0.25866085
