dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
Mouse_Brain_E13_S1,42,0.2270969161358121,0.4678190337944825,0.4589769290034415,0.5627923100040251,0.4678190337944825,0.2462473
Mouse_Brain_E13_S1,0,0.22556147596377693,0.4517339936840644,0.44271668002155445,0.5530009253245873,0.4517339936840644,0.21687831
Mouse_Brain_E13_S1,1,0.2759707433481642,0.46626152551127087,0.4574583762164239,0.569048331967714,0.46626152551127087,0.20816468
Mouse_Brain_E13_S1,7,0.23424828400934647,0.4529616027099628,0.4439544208457312,0.5543624980932335,0.4529616027099628,0.22594453
Mouse_Brain_E13_S1,123,0.2134474139855411,0.4573112258325518,0.4483546027619341,0.5577705328947642,0.45731122583255174,0.24389178
Mouse_Brain_E13_S1,1234,0.2258437571332444,0.4654761105745264,0.4566035298960403,0.5619828625227025,0.4654761105745264,0.23683998
Mouse_Brain_E13_S1,2022,0.22234086514063106,0.44589152040573127,0.4367275645735866,0.5407547039360263,0.4458915204057313,0.20486787
Mouse_Brain_E13_S1,2023,0.159637030667432,0.4226661696239062,0.4129438896437527,0.4953244687900694,0.4226661696239062,0.25775623
Mouse_Brain_E13_S1,2024,0.26641935056016985,0.4769085109918956,0.46827290001207456,0.5800701044603604,0.4769085109918955,0.2351643
Mouse_Brain_E13_S1,1337,0.1894215136658743,0.4230446943813703,0.41360250502239604,0.5226894694544806,0.4230446943813703,0.23200108
