dataset,seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,42,0.25446452546599946,0.37706467721648995,0.37311628221336474,0.4315715249083102,0.37706467721648995,0.2870701
10x_human_lymph_node_A1,0,0.22886281567998062,0.3638738094999393,0.35984720501816536,0.4168676919611749,0.36387380949993936,0.24372017
10x_human_lymph_node_A1,1,0.19812652380633536,0.33638342038088537,0.3321341578430727,0.3812446261112708,0.33638342038088537,0.22512197
10x_human_lymph_node_A1,7,0.18939715628411505,0.33682030934629503,0.3326601256444747,0.3898552373578534,0.33682030934629503,0.21460482
10x_human_lymph_node_A1,123,0.26252125272114596,0.3853133967669468,0.38131632021028405,0.4291499339753223,0.38531339676694687,0.309665
10x_human_lymph_node_A1,1234,0.22108664955905663,0.3518750214515462,0.347784134836882,0.40485140181806945,0.3518750214515462,0.26796886
10x_human_lymph_node_A1,2022,0.2740046409029112,0.381448785201294,0.3774342937379846,0.4263400934659019,0.38144878520129394,0.28070703
10x_human_lymph_node_A1,2023,0.28614217451911533,0.39173273269749576,0.38780096042992057,0.4393607010072998,0.3917327326974958,0.22861622
10x_human_lymph_node_A1,2024,0.22355099716683716,0.34724619456812716,0.3429419352649976,0.3818291604075936,0.34724619456812716,0.24604441
10x_human_lymph_node_A1,1337,0.2599630964566276,0.37801351506806063,0.3739835061060368,0.4225821817269502,0.37801351506806063,0.27267775
