Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,Method 2,2022,0.21580275114492983,0.36504157774603063,0.36110290341976586,0.42734727174514087,0.36504157774603063,0.06083284923827202
10x_human_lymph_node_A1,Method 2,574,0.24280421612896289,0.36919090250275255,0.36524311664502507,0.4283913755388759,0.3691909025027525,0.06666439945483459
10x_human_lymph_node_A1,Method 2,2428,0.2338169732693649,0.3710398437355926,0.3671299151217053,0.43341375430105106,0.3710398437355926,0.07085622340895671
10x_human_lymph_node_A1,Method 2,999,0.23280625885094294,0.36824266783059273,0.3642911202569766,0.4275082831986227,0.36824266783059273,0.06109132492869921
10x_human_lymph_node_A1,Method 2,1187,0.22354918411820274,0.3671893150904506,0.36325363616824696,0.4287095264332089,0.3671893150904506,0.06386900665002146
10x_human_lymph_node_A1,Method 2,42,0.22309784807097977,0.36437106064127145,0.36041856946253426,0.4255022074514916,0.36437106064127145,0.06558557826243583
10x_human_lymph_node_A1,Method 2,3999,0.21165844410589793,0.3624097717930456,0.3584568952504692,0.42450234646661267,0.3624097717930456,0.059094619358412724
10x_human_lymph_node_A1,Method 3,13,0.252226108548764,0.37652869893755425,0.37255687561420375,0.4288288645530521,0.37652869893755436,0.0011976572720507402
10x_human_lymph_node_A1,Method 3,2560,0.2416765650555724,0.38348109754784987,0.37954620804754535,0.4352698247811064,0.38348109754784987,0.0016701561313718812
10x_human_lymph_node_A1,Method 3,641,0.22491124819616298,0.37070275467902086,0.36676639653663734,0.4302500692876661,0.3707027546790208,0.0021676296168324184
10x_human_lymph_node_A1,Method 3,1892,0.22939352826318488,0.381555083686151,0.3776020201528322,0.4330727381952786,0.381555083686151,0.000981016984385783
10x_human_lymph_node_A1,Method 3,1173,0.2406683298827302,0.36918631061168145,0.3651598717828016,0.419662509353221,0.36918631061168145,0.0011754139158194564
10x_human_lymph_node_A1,Method 3,69,0.24886792042162947,0.37947417772735825,0.37547932580594146,0.42745483632843295,0.3794741777273583,-0.003989999226310278
10x_human_lymph_node_A1,Method 3,2024,0.21182122446626594,0.3612549058966777,0.35727056901022103,0.42045108055845926,0.3612549058966777,0.0022560902292637548
10x_human_lymph_node_A1,Method 3,231,0.2538057510573104,0.37892538979958934,0.3749145826171949,0.4251824602939192,0.37892538979958934,-0.004029666966048056
10x_human_lymph_node_A1,Method 3,1971,0.22077878641886683,0.36994735846851184,0.36598265915000705,0.42672874767711255,0.36994735846851184,0.002425837444084162
10x_human_lymph_node_A1,Method 3,2497,0.22264769394523823,0.36771345460301835,0.3636872613428768,0.41849560551749176,0.36771345460301835,-0.0039024672942062585
10x_human_lymph_node_A1,Method 3,338,0.23645498269250417,0.3793488283269474,0.375452450507434,0.4386101880347766,0.37934882832694744,0.0020584461874482525
10x_human_lymph_node_A1,Method 3,3127,0.2322818237938066,0.37030305606489217,0.3663415227996139,0.42721870276539786,0.37030305606489217,0.0021672140566372164
10x_human_lymph_node_A1,Method 3,2001,0.24118379012500793,0.37306458860681513,0.3690261725581458,0.4200432012784931,0.37306458860681513,-0.003329608991541456
10x_human_lymph_node_A1,Method 3,2022,0.24689690496897732,0.3687603273032893,0.3646816864341516,0.41408559009628676,0.3687603273032893,-0.0036409373751901813
10x_human_lymph_node_A1,Method 3,574,0.22223335657475546,0.3612415791421054,0.3572392772887139,0.4185601831139996,0.3612415791421055,0.0027641672741846716
10x_human_lymph_node_A1,Method 3,2428,0.219036569479619,0.3600530762844424,0.35603956154286553,0.41677437842336695,0.3600530762844424,0.002681192453884365
10x_human_lymph_node_A1,Method 3,999,0.2215304240554405,0.365974224339512,0.3619845394740451,0.42216120560605,0.365974224339512,0.0022646186916683063
10x_human_lymph_node_A1,Method 3,1187,0.2306015148506664,0.3698014315518583,0.36575940561051984,0.41735699741755433,0.3698014315518583,-0.004926733268002447
10x_human_lymph_node_A1,Method 3,42,0.20899792349168567,0.3599887283717518,0.3559521948997907,0.41432973981656535,0.3599887283717518,0.001918324997666668
10x_human_lymph_node_A1,Method 3,3999,0.2329088950755209,0.36672740987937436,0.36269052257127316,0.41669116517834187,0.3667274098793743,-0.004369775318454625
10x_human_lymph_node_D1,Method 1,13,0.1594509981648808,0.322939758007061,0.31760145481490093,0.3884956724521006,0.32293975800706093,0.08191215198871994
10x_human_lymph_node_D1,Method 1,2560,0.15919908700805288,0.3204716839189978,0.3151125295489041,0.38541277073897223,0.32047168391899783,0.07946429121829991
