Dataset,Method,Seed,ARI,NMI,AMI,Homogeneity,V-measure,Silhouette
10x_human_lymph_node_A1,Method 1,13,0.2640859550762876,0.38986386877783397,0.38581369812568095,0.4222259791605365,0.38986386877783397,0.024055993218079944
10x_human_lymph_node_A1,Method 1,2560,0.2405581673286974,0.3746811664029055,0.3706370192185984,0.41925812375688015,0.3746811664029055,0.03637934751949375
10x_human_lymph_node_A1,Method 1,641,0.2427007486465417,0.37703746502052626,0.37298993129179087,0.41959414486120045,0.37703746502052626,0.02930210967821224
10x_human_lymph_node_A1,Method 1,1892,0.23967263175302023,0.378140040979323,0.3741307762241241,0.42464400215638215,0.378140040979323,0.02617570492995948
10x_human_lymph_node_A1,Method 1,1173,0.2387592196773993,0.37288399141929784,0.36882758534821225,0.41715949528199475,0.37288399141929784,0.03606806582121839
10x_human_lymph_node_A1,Method 1,69,0.24603554989178886,0.3743794302818735,0.3703773714944954,0.4052908188118352,0.3743794302818735,0.03863977988423106
10x_human_lymph_node_A1,Method 1,2024,0.2484207539010667,0.37755811005398443,0.37354916612510913,0.40905948056931224,0.3775581100539845,0.0399825535208385
10x_human_lymph_node_A1,Method 1,231,0.2605477291301142,0.3916343228936492,0.3875824775093663,0.42257745912755446,0.3916343228936492,0.017866368316082366
10x_human_lymph_node_A1,Method 1,1971,0.2385520688032221,0.3746325035145691,0.37059069333882294,0.41949901327767436,0.37463250351456906,0.03641293802849575
10x_human_lymph_node_A1,Method 1,2497,0.26738267922788306,0.39448304552356,0.3904568148324289,0.40787315119187023,0.39448304552355995,0.015862147215462044
10x_human_lymph_node_A1,Method 1,338,0.23674169714028012,0.37272376643882416,0.36867122061393476,0.4175039917864755,0.3727237664388242,0.034158296169214
10x_human_lymph_node_A1,Method 1,3127,0.24492168743461024,0.3763285485740015,0.3722950676038921,0.406989779998474,0.3763285485740015,0.02772202479766142
10x_human_lymph_node_A1,Method 1,2001,0.2567987615975496,0.38525485717754554,0.3812499975465227,0.41249785985618076,0.38525485717754565,0.027025464538288295
10x_human_lymph_node_A1,Method 1,2022,0.24460033533224665,0.3761520316211684,0.3720854563576331,0.4169336994934245,0.37615203162116845,0.03178031463574054
10x_human_lymph_node_A1,Method 1,574,0.2760288341748127,0.4036612658081114,0.3995781949693818,0.4230809606915683,0.4036612658081114,0.013580910209505647
10x_human_lymph_node_A1,Method 1,2428,0.24480911176445938,0.376368205076768,0.372331157100501,0.4085263712818632,0.376368205076768,0.04017751025838161
10x_human_lymph_node_A1,Method 1,999,0.2444148833336584,0.3772783504356469,0.3732302958542878,0.41955476471535297,0.37727835043564684,0.031102898859577822
10x_human_lymph_node_A1,Method 1,1187,0.25488404151544813,0.3839539664458295,0.37996094184822105,0.41002877554858314,0.3839539664458295,0.025633924786842104
10x_human_lymph_node_A1,Method 1,42,0.2382199654306068,0.37663632701182337,0.3726108530050321,0.42213538904503617,0.3766363270118235,0.03279683092842694
10x_human_lymph_node_A1,Method 1,3999,0.2444691578994572,0.3757850608962851,0.37171487547978005,0.416444282088787,0.3757850608962851,0.031208165987576045
10x_human_lymph_node_A1,Method 2,13,0.255497045937134,0.3897991142546929,0.38577065749922673,0.42454587374349007,0.3897991142546928,0.007662988568370724
10x_human_lymph_node_A1,Method 2,2560,0.23856051543599685,0.3743643706523375,0.370319032428069,0.419017009421046,0.3743643706523376,0.014767272276340391
10x_human_lymph_node_A1,Method 2,641,0.24429863856726466,0.3786339945865197,0.37461827768510314,0.42403468624073715,0.3786339945865197,0.017752129393429752
10x_human_lymph_node_A1,Method 2,1892,0.2650834801995689,0.39486640552949265,0.39084306796488094,0.4296146632596874,0.39486640552949265,0.01302554851000929
10x_human_lymph_node_A1,Method 2,1173,0.24570075969029292,0.37966570466961147,0.37558421183447394,0.4156424054421614,0.3796657046696114,0.009349723070860988
10x_human_lymph_node_A1,Method 2,69,0.24879625542319042,0.3793959056383691,0.37536080613234196,0.42178412752450717,0.37939590563836917,0.01151947616712572
10x_human_lymph_node_A1,Method 2,2024,0.24719187817554414,0.3789460113546622,0.37497764155381696,0.41069277898438467,0.37894601135466216,0.02069476401760151
10x_human_lymph_node_A1,Method 2,231,0.2433024151901087,0.37013758867009033,0.36610985308550764,0.40077831088188115,0.3701375886700904,0.016678091503969452
10x_human_lymph_node_A1,Method 2,1971,0.27249727363237464,0.39681227308393063,0.3928527391650428,0.4177481765990952,0.3968122730839307,-0.0017971383317355602
10x_human_lymph_node_A1,Method 2,2497,0.26437694751194324,0.39284604635141845,0.38880107081092224,0.42401902430835964,0.3928460463514185,0.005789300036612274
10x_human_lymph_node_A1,Method 2,338,0.23737419326160586,0.378537217113959,0.3745255982532108,0.4249352206447278,0.378537217113959,0.005982685514596019
10x_human_lymph_node_A1,Method 2,3127,0.23680988723276458,0.37433790816313756,0.37029793712727893,0.419640730622558,0.37433790816313756,0.015980540744988374
10x_human_lymph_node_A1,Method 2,2001,0.24847880502210862,0.3845104757279985,0.38047024947303837,0.4213552788856548,0.38451047572799846,0.015613372916027197
10x_human_lymph_node_A1,Method 2,2022,0.27327497789022676,0.3966622949157485,0.39265110455032004,0.41044214414932506,0.3966622949157485,0.007156439900621085
10x_human_lymph_node_A1,Method 2,574,0.25796136210209425,0.3901620718971867,0.3861367382050588,0.42490129005506067,0.3901620718971867,0.010826304260500958
10x_human_lymph_node_A1,Method 2,2428,0.25978199535455254,0.3920818449618194,0.3880710323205832,0.42765692319919124,0.3920818449618194,0.006672394209239379
10x_human_lymph_node_A1,Method 2,999,0.2683538234640985,0.3940961362653491,0.3900576030749879,0.4250857208663341,0.3940961362653491,0.005591229228861669
10x_human_lymph_node_A1,Method 2,1187,0.2663834160266539,0.39641577015990576,0.3924037475916237,0.429317052140856,0.39641577015990576,0.0009128128481941737
10x_human_lymph_node_A1,Method 2,42,0.2386864733515972,0.37106290741004827,0.36699691692244973,0.41539991257492975,0.37106290741004827,0.019635136086389286
